,노선번호,구간,이정,연장,2017,2018,2019,2020,계,1~2종,3~12종,17~20년도_합계,startpoint,endpoint,startpoint_coor,endpoint_coor,rest_count,accident_count
418,,남밀양IC~밀양IC,38.3~44.4,6.1,43094.0,43353.0,40512.0,40702.0,"46,554",29332,5004,167661.0,남밀양IC,밀양IC,"(35.4512119083926, 128.773686115799)","(35.5017032065981, 128.790726701684)",0,0
419,,밀양IC~청도IC,44.4~62.4,18.0,39821.0,37471.0,36926.0,38493.0,"45,027",26538,3484,152711.0,밀양IC,청도IC,"(35.5017032065981, 128.790726701684)","(35.6525890521087, 128.747783354067)",0,10
420,,청도IC~수성IC,62.4~84.7,22.3,37984.0,38649.0,34028.0,34579.0,"44,732",26153,5689,145240.0,청도IC,수성IC,"(35.6525890521087, 128.747783354067)","(35.8358812330315, 128.692342213471)",0,0
421,,수성IC~동대구IC,84.7~88.3,3.6,51247.0,52977.0,48322.0,52280.0,"59,968",38654,7320,204826.0,수성IC,동대구IC,"(35.8358812330315, 128.692342213471)","(35.8650004174804, 128.686318891978)",0,5
422,,동대구IC~동대구JCT,88.3~90.9,2.6,77919.0,79648.0,80108.0,81697.0,"88,723",60649,10664,319372.0,동대구IC,동대구JCT,"(35.8650004174804, 128.686318891978)","(35.8856949969194, 128.694438187263)",0,3
423,중앙선,금호JCT~칠곡IC,90.9~95.7,4.8,60187.0,59562.0,63519.0,60701.0,"64,165",44239,8706,243969.0,금호JCT,칠곡IC,"(35.8926208154639, 128.525211410393)","(35.9352753640716, 128.535271827071)",0,14
424,,칠곡IC~다부IC,95.7~109.6,13.9,51176.0,52469.0,52994.0,49756.0,"53,038",36113,7173,206395.0,칠곡IC,다부IC,"(35.9352753640716, 128.535271827071)","(36.0476121560357, 128.517042110651)",2,5
425,,다부IC~가산IC,109.6~115.9,6.3,52623.0,51827.0,54228.0,52318.0,"52,925",35700,7525,210996.0,다부IC,가산IC,"(36.0476121560357, 128.517042110651)","(36.0958138632475, 128.533281728062)",0,2
426,,가산IC~군위JCT,115.9~124.6,8.7,36337.0,36521.0,38158.0,37998.0,"41,940",27955,5235,149014.0,가산IC,군위JCT,"(36.0958138632475, 128.533281728062)","(36.1622034101875, 128.548482249954)",0,0
427,,군위JCT~군위IC,124.6~129,4.4,41247.0,44231.0,46662.0,44383.0,"45,751",30811,6238,176523.0,군위JCT,군위IC,"(36.1622034101875, 128.548482249954)","(36.1991305328943, 128.559046265774)",0,0
